country,source_file,status,detail
Kyrgyz Republic_KGZ,"KGZ_SM.24.20, Sup. 2.xlsm",OK,KGZ_SM.24.20_Ext_Debt_Data
Lao PDR_LAO,"LAO_SM.18.26, Sup. 2.xlsm",OK,LAO_SM.18.26_Inp_Out_Debt
Lao PDR_LAO,"LAO_SM.19.194, Sup. 2.xlsm",OK,LAO_SM.19.194_Ext_Debt_Data
Lao PDR_LAO,"LAO_SM.22.37, Sup. 2.xlsm",OK,LAO_SM.22.37_Ext_Debt_Data
Lao PDR_LAO,"LAO_SM.23.88, Sup. 1.xlsm",OK,LAO_SM.23.88_Ext_Debt_Data
Lesotho_LSO,"LSO_EBS.20.126, Sup. 1.xlsm",OK,LSO_EBS.20.126_Ext_Debt_Data
Lesotho_LSO,LSO_SM.18.22.xlsm,OK,LSO_SM.18.22_Inp_Out_Debt
Lesotho_LSO,LSO_SM.19.79.xlsm,OK,LSO_SM.19.79_Ext_Debt_Data
Lesotho_LSO,"LSO_SM.22.102, Sup. 2.xlsm",OK,LSO_SM.22.102_Ext_Debt_Data
Lesotho_LSO,"LSO_SM.23.167, Sup. 2.xlsm",OK,LSO_SM.23.167_Ext_Debt_Data
Liberia_LBR,"LBR_EBS.19.102, Sup. 2.xlsm",OK,LBR_EBS.19.102_Ext_Debt_Data
Liberia_LBR,"LBR_EBS.20.110, Sup. 1.xlsm",OK,LBR_EBS.20.110_Ext_Debt_Data
Liberia_LBR,"LBR_EBS.20.184, Sup. 2.xlsm",OK,LBR_EBS.20.184_Ext_Debt_Data
Liberia_LBR,"LBR_EBS.22.72, Sup.1.xlsm",OK,LBR_EBS.22.72_Ext_Debt_Data
Liberia_LBR,"LBR_SM.18.124, Sup. 1.xlsm",OK,LBR_SM.18.124_Inp_Out_Debt
Liberia_LBR,"LBR_SM.19.108, Sup. 2.xlsm",OK,LBR_SM.19.108_Ext_Debt_Data
Madagascar_MDG,"MDG_EBS.18.66, Sup. 1.xlsm",OK,MDG_EBS.18.66_Inp_Out_Debt
Madagascar_MDG,"MDG_EBS.19.73, Sup. 1.xlsm",OK,MDG_EBS.19.73_Ext_Debt_Data
Madagascar_MDG,"MDG_EBS.20.124, Sup. 1.xlsm",OK,MDG_EBS.20.124_Ext_Debt_Data
Madagascar_MDG,"MDG_EBS.20.3, Sup. 1.xlsm",OK,MDG_EBS.20.3_Ext_Debt_Data
Madagascar_MDG,MDG_EBS.20.30.xlsm,OK,MDG_EBS.20.30_Ext_Debt_Data
Madagascar_MDG,"MDG_EBS.21.26, Sup. 1.xlsm",OK,MDG_EBS.21.26_Ext_Debt_Data
Madagascar_MDG,"MDG_EBS.22.9, Sup. 1.xlsm",OK,MDG_EBS.22.9_Ext_Debt_Data
Madagascar_MDG,"MDG_EBS.23.14, Sup. 1.xlsm",OK,MDG_EBS.23.14_Ext_Debt_Data
Malawi_MWI,MWI_EBS.18.28.xlsm,OK,MWI_EBS.18.28_Inp_Out_Debt
Malawi_MWI,MWI_EBS.18.96.xlsm,OK,MWI_EBS.18.96_Ext_Debt_Data
Malawi_MWI,"MWI_EBS.19.95, Sup. 2.xlsm",OK,MWI_EBS.19.95_Ext_Debt_Data
Malawi_MWI,"MWI_EBS.20.151, Sup. 1.xlsm",OK,MWI_EBS.20.151_Ext_Debt_Data
Malawi_MWI,"MWI_EBS.20.81, Sup. 1.xlsm",OK,MWI_EBS.20.81_Ext_Debt_Data
Malawi_MWI,"MWI_EBS.22.100, Sup. 1.xlsm",OK,MWI_EBS.22.100_Ext_Debt_Data
Malawi_MWI,"MWI_EBS.23.114, Sup. 1.xlsm",OK,MWI_EBS.23.114_Ext_Debt_Data
Malawi_MWI,"MWI_EBS.23.84, Sup. 1.xlsm",OK,MWI_EBS.23.84_Ext_Debt_Data
Malawi_MWI,"MWI_SM.21.200, Sup. 1.xlsm",OK,MWI_SM.21.200_Ext_Debt_Data
